Category,Buy Date,Name,CMP,Buy Price,QTY Available,Account,Investment,CM Value,P&L,P_Percentage,Tax,Dividend,Remark,Status,Sell_Price,Sell Date,Today_PnL,Sell_Date
Equity,2026-04-06,,0,0,1,Habeeb,0,0,0,0,0,0,,Holding,0,,0,
Equity,2026-04-06,ABB.NS,0,0,10,RISU,0,0,0,0,10,0,New,Holding,,,,
